Mouse,Group,Unit,Zscore_mean_after,Status
F3876,saline,58,-1.481,no change
F3876,saline,66,-0.112,no change
F3876,saline,72,-0.648,no change
F3876,saline,80,-0.855,no change
F3876,saline,104,0.353,no change
F3876,saline,109,-0.119,no change
F3876,saline,110,-0.038,no change
F3876,saline,114,0.25,no change
F3876,saline,120,-0.792,no change
F3876,saline,131,-1.125,no change
F3876,saline,135,-0.798,no change
F3876,saline,158,-0.28,no change
F3876,saline,170,-0.469,no change
F3876,saline,172,0.551,no change
F3876,saline,180,1.039,no change
F3876,saline,186,-0.283,no change
F3876,saline,192,-0.961,no change
F3876,saline,196,-1.318,no change
F3876,saline,200,-1.037,no change
F3876,saline,206,-0.341,no change
F3876,saline,212,-0.495,no change
F3876,saline,215,-0.48,no change
F3876,saline,219,1.585,no change
F3876,saline,223,0.401,no change
F3876,saline,232,0.738,no change
F3876,saline,234,0.491,no change
F3876,saline,236,-1.565,no change
F3876,saline,240,-0.379,no change
F3876,saline,244,0.573,no change
F3876,saline,246,-0.696,no change
F3876,saline,250,-0.932,no change
F3876,saline,252,-0.278,no change
F3876,saline,254,-0.703,no change
F3876,saline,256,-0.377,no change
F3878,saline,88,-0.648,no change
F3878,saline,112,-0.399,no change
F3878,saline,122,0.263,no change
F3878,saline,128,-0.155,no change
F3878,saline,134,-0.367,no change
F3878,saline,142,2.161,no change
F3878,saline,144,1.126,no change
F3878,saline,146,0.044,no change
F3878,saline,148,0.035,no change
F3878,saline,156,-0.233,no change
F3878,saline,162,-0.164,no change
F3878,saline,172,-0.143,no change
F3878,saline,182,0.081,no change
F3878,saline,200,-0.023,no change
F3878,saline,204,-0.178,no change
F3878,saline,212,0.552,no change
F3878,saline,218,-0.454,no change
F3878,saline,228,-0.594,no change
F3878,saline,238,-0.822,no change
F3878,saline,242,-0.126,no change
F3878,saline,248,-0.153,no change
F3878,saline,256,0.052,no change
F3878,saline,262,-1.259,no change
F3878,saline,266,-0.091,no change
F3878,saline,272,-1.11,no change
F3878,saline,278,-0.288,no change
F3878,saline,282,-1.563,no change
F3878,saline,292,-0.229,no change
F3878,saline,298,0.397,no change
F3878,saline,302,-0.154,no change
F3878,saline,308,-0.38,no change
F3878,saline,314,-0.321,no change
F3878,saline,322,-0.379,no change
F3878,saline,328,0.378,no change
F3878,saline,332,0.2,no change
F3878,saline,340,0.266,no change
F3878,saline,344,-1.21,no change
F3878,saline,350,0.2,no change
F3878,saline,360,-0.227,no change
F3878,saline,364,0.118,no change
F3878,saline,374,-0.573,no change
F3878,saline,382,-0.587,no change
F3878,saline,388,-0.37,no change
F3878,saline,392,-0.262,no change
F3878,saline,396,-0.12,no change
F3878,saline,404,-0.473,no change
F3878,saline,414,-0.754,no change
F3878,saline,424,-0.838,no change
F3878,saline,426,-0.029,no change
F3878,saline,432,0.188,no change
F3878,saline,438,-0.405,no change
F3878,saline,444,-0.359,no change
F3878,saline,450,-0.024,no change
F3878,saline,454,-0.516,no change
F3878,saline,460,-0.183,no change
F3878,saline,466,0.727,no change
F3878,saline,470,0.351,no change
F3879,5-Meo,113,-10.498,inhibited
F3879,5-Meo,123,-1.265,no change
F3879,5-Meo,127,-2.993,inhibited
F3879,5-Meo,131,14.371,excited
F3879,5-Meo,133,-3.222,inhibited
F3879,5-Meo,135,-3.044,inhibited
F3879,5-Meo,141,-2.056,no change
F3879,5-Meo,143,-1.274,no change
F3879,5-Meo,149,-6.287,inhibited
F3879,5-Meo,155,-1.524,no change
F3879,5-Meo,159,-0.888,no change
F3879,5-Meo,163,-1.554,no change
F3879,5-Meo,167,-1.858,no change
F3879,5-Meo,189,-4.162,inhibited
F3879,5-Meo,205,-5.885,inhibited
F3879,5-Meo,223,-4.068,inhibited
F3879,5-Meo,229,-2.748,inhibited
F3879,5-Meo,235,0.519,no change
F3879,5-Meo,253,-2.802,inhibited
F3879,5-Meo,259,-4.04,inhibited
F3879,5-Meo,267,-3.312,inhibited
F3879,5-Meo,277,-0.569,no change
F3879,5-Meo,289,-2.035,no change
F3879,5-Meo,299,-9.806,inhibited
F3879,5-Meo,301,-11.941,inhibited
F3879,5-Meo,307,-5.651,inhibited
F3879,5-Meo,319,-5.3,inhibited
F3879,5-Meo,327,-4.417,inhibited
F3879,5-Meo,333,-2.113,no change
F3879,5-Meo,341,-4.773,inhibited
F3879,5-Meo,351,-5.911,inhibited
F3879,5-Meo,365,-2.897,inhibited
F3879,5-Meo,369,-5.752,inhibited
F3879,5-Meo,373,-8.447,inhibited
F3879,5-Meo,377,-2.645,inhibited
F3879,5-Meo,383,0.205,no change
F3879,5-Meo,391,-4.756,inhibited
F3879,5-Meo,397,0.691,no change
F3879,5-Meo,401,-0.792,no change
F3879,5-Meo,405,-2.754,inhibited
F3879,5-Meo,421,-4.821,inhibited
F3879,5-Meo,425,-3.01,inhibited
F3879,5-Meo,431,-5.089,inhibited
F3879,5-Meo,437,-7.889,inhibited
F3879,5-Meo,449,-2.342,no change
F3879,5-Meo,453,3.338,excited
F3879,5-Meo,457,6.896,excited
F3879,5-Meo,473,-4.375,inhibited
F3879,5-Meo,495,-5.834,inhibited
F3879,5-Meo,499,-3.825,inhibited
F3879,5-Meo,507,-4.124,inhibited
F3879,5-Meo,513,-7.798,inhibited
F3879,5-Meo,525,-3.804,inhibited
F3879,5-Meo,531,-3.076,inhibited
F3879,5-Meo,545,-4.353,inhibited
F3879,5-Meo,549,-3.257,inhibited
F3879,5-Meo,557,-5.898,inhibited
F3879,5-Meo,563,-1.219,no change
F3879,5-Meo,567,-1.515,no change
F3879,5-Meo,575,-5.207,inhibited
F3879,5-Meo,579,-7.166,inhibited
F3879,5-Meo,587,-4.411,inhibited
F3879,5-Meo,591,-3.406,inhibited
F3879,5-Meo,593,-4.891,inhibited
F3879,5-Meo,603,-2.971,inhibited
F3879,5-Meo,607,0.625,no change
F3879,5-Meo,609,-3.108,inhibited
F3879,5-Meo,615,0.985,no change
F3879,5-Meo,619,0.473,no change
F3879,5-Meo,623,-1.657,no change
F3879,5-Meo,627,1.708,no change
F3879,5-Meo,631,0.798,no change
F3879,5-Meo,633,-1.336,no change
F3879,5-Meo,639,-2.387,no change
F3880,5-Meo,43,-2.91,inhibited
F3880,5-Meo,47,-0.273,no change
F3880,5-Meo,55,-2.797,inhibited
F3880,5-Meo,59,-6.046,inhibited
F3880,5-Meo,65,-6.88,inhibited
F3880,5-Meo,71,-8.602,inhibited
F3800,saline,73,-0.675,no change
F3800,saline,79,0.351,no change
F3800,saline,81,-0.07,no change
F3800,saline,96,1.544,no change
F3800,saline,100,-0.537,no change
F3800,saline,108,0.132,no change
F3800,saline,116,0.214,no change
F3800,saline,128,0.514,no change
F3800,saline,136,-0.072,no change
F3800,saline,144,0.681,no change
F3800,saline,150,0.944,no change
F3800,saline,156,0.776,no change
F3800,saline,168,0.808,no change
F3800,saline,172,0.093,no change
F3800,saline,174,0.118,no change
F3800,saline,176,0.726,no change
F3800,saline,178,0.201,no change
F3800,saline,182,0.315,no change
F3800,saline,188,0.842,no change
F3800,saline,192,-0.101,no change
F3800,saline,193,-0.278,no change
F3800,saline,200,0.64,no change
F3800,saline,204,0.424,no change
F3800,saline,212,0.026,no change
F3800,saline,216,-0.301,no change
F3800,saline,222,0.553,no change
F3800,saline,230,1.557,no change
